Provider ID,Provider Name & Address,Type,Rating,Cost,Contact Number
1,"WALGREEN CO, 9423 SPRING GREEN BLVD, KATY, TX",Pharmacy,3,400,2817124084.0
2,"PALMER EYE CARE PC, 313 W CHURCH ST, ALBION, NE",Optometrist,4,600,4023952082.0
3,"STORY AVE 24, LLC, 1903 STORY AVE, BRONX, NY",Pharmacy,2,200,7188222923.0
4,"HARRIS TEETER LLC, 3865 W ASHLEY CIR, CHARLESTON, SC",Pharmacy,5,1000,8436192921.0
5,"WAL-MART STORES EAST LP, 904 CYPRESS PKWY, POINCIANA, FL",Pharmacy|Optician,5,800,4078702501.0
6,"SLEEP BETTER AUSTIN TREATMENT PLLC, 4460 S FM 1626, KYLE, TX",MSC With Orthotic-Prosthetic,3,800,5122150000000.0
7,"WAL-MART STORES EAST LP, 15445 HIGHWAY 24, MOULTON, AL",Pharmacy|Optician,4,400,2569741597.0
8,"WEIS MARKETS INC, 1100 N 4TH ST, SUNBURY, PA",Certified Other|Pharmacy|Grocery Store,2,200,5702860276.0
9,"WALGREEN CO, 1641 23RD AVE, GREELEY, CO",Pharmacy,2,1000,9703561177.0
10,"PUBLIX SUPER MARKETS INC, 5450 E BUSCH BLVD, TEMPLE TERRACE, FL",Pharmacy,3,1000,8139806634.0
11,"HIGHLAND PARK CVS LLC, 1 S STATE ST, CHICAGO, IL",Pharmacy,1,1000,3122792134.0
12,"TOTAL CARE RX PHARMACY INC, 18682 BEACH BLVD, HUNTINGTON BEACH, CA",Pharmacy,2,1000,7149644004.0
13,"GERMAN DOBSON CVS, L.L.C., 3170 S HIGLEY RD, GILBERT, AZ",Pharmacy,1,1000,4802795517.0
14,"AURORA PHARMACY INC, 135 JACKSON ST, OSHKOSH, WI",Pharmacy,3,1000,9203038140.0
15,"PINK RIBBON BOUTIQUE LLC, 18 VILLAGE SQ, SMYRNA, DE",MSC With Prosthetic Personnel|Prosthetic Personnel,1,400,3022236889.0
16,"SOUTH CAROLINA CVS PHARMACY LLC, 1211 HWY 301 N, DILLON, SC",Pharmacy,4,800,8437745616.0
17,"WALGREEN CO, 3351 W MAIN ST, ST CHARLES, IL",Pharmacy,4,600,6304438735.0
